Subject,Start Date,Start Time,Location,End Date,End Time,Description,Private,All Day Event
M  🏥 Work (12),1/22/2018,12:00 pm,cstate,1/22/2018,8:30 PM,,,
M  DAYOFF (X) ,1/23/2018,,cstate,1/23/2018,,,,true
M  🏥 Work (CA),1/24/2018,7:00 am,cstate,1/24/2018,3:30 PM,,,
M  🏥 Work (C),1/25/2018,7:30 am,cstate,1/25/2018,4:00 PM,,,
M  🏥 Work (C),1/26/2018,7:30 am,cstate,1/26/2018,4:00 PM,,,
M  DAYOFF (X) ,1/27/2018,,cstate,1/27/2018,,,,true
M  DAYOFF (X) ,1/28/2018,,cstate,1/28/2018,,,,true
M  🏥 Work (3!),1/29/2018,3:00 pm,cstate,1/29/2018,11:30 PM,,,
M  🏥 Work (N!),1/30/2018,8:00 am,cstate,1/30/2018,4:30 PM,,,
M  🏥 Work (IV),1/31/2018,6:00 am,cstate,1/31/2018,2:30 PM,,,
M  DAYOFF (X) ,2/1/2018,,cstate,2/1/2018,,,,true
M  🏥 Work (IV),2/2/2018,6:00 am,cstate,2/2/2018,2:30 PM,,,
M  🏥 Work (IV),2/3/2018,6:00 am,cstate,2/3/2018,2:30 PM,,,
M  🏥 Work (IV),2/4/2018,6:00 am,cstate,2/4/2018,2:30 PM,,,
M  🏥 Work (IV),2/5/2018,6:00 am,cstate,2/5/2018,2:30 PM,,,
M  DAYOFF (X) ,2/6/2018,,cstate,2/6/2018,,,,true
M  🏥 Work (N!),2/7/2018,8:00 am,cstate,2/7/2018,4:30 PM,,,
M  🏥 Work (3!),2/8/2018,3:00 pm,cstate,2/8/2018,11:30 PM,,,
M  PTO (P) ,2/9/2018,,cstate,2/9/2018,,,,true
M  DAYOFF (X) ,2/10/2018,,cstate,2/10/2018,,,,true
M  DAYOFF (X) ,2/11/2018,,cstate,2/11/2018,,,,true
M  🏥 Work (C),2/12/2018,7:30 am,cstate,2/12/2018,4:00 PM,,,
M  🏥 Work (C),2/13/2018,7:30 am,cstate,2/13/2018,4:00 PM,,,
M  🏥 Work (C),2/14/2018,7:30 am,cstate,2/14/2018,4:00 PM,,,
M  DAYOFF (X) ,2/15/2018,,cstate,2/15/2018,,,,true
M  🏥 Work (C),2/16/2018,7:30 am,cstate,2/16/2018,4:00 PM,,,
M  🏥 Work (8^),2/17/2018,8:00 am,cstate,2/17/2018,4:30 PM,,,
M  🏥 Work (8^),2/18/2018,8:00 am,cstate,2/18/2018,4:30 PM,,,
M  DAYOFF (X) ,2/19/2018,,cstate,2/19/2018,,,,true
M  🏥 Work (S^),2/20/2018,7:30 am,cstate,2/20/2018,4:00 PM,,,
M  🏥 Work (IV),2/21/2018,6:00 am,cstate,2/21/2018,2:30 PM,,,
M  🏥 Work (12),2/22/2018,12:00 pm,cstate,2/22/2018,8:30 PM,,,
M  🏥 Work (IV),2/23/2018,6:00 am,cstate,2/23/2018,2:30 PM,,,
M  DAYOFF (X) ,2/24/2018,,cstate,2/24/2018,,,,true
M  DAYOFF (X) ,2/25/2018,,cstate,2/25/2018,,,,true
M  🏥 Work (IV),2/26/2018,6:00 am,cstate,2/26/2018,2:30 PM,,,
M  🏥 Work (3!),2/27/2018,3:00 pm,cstate,2/27/2018,11:30 PM,,,
M  🏥 Work (N!),2/28/2018,8:00 am,cstate,2/28/2018,4:30 PM,,,
M  🏥 Work (CA),3/1/2018,7:00 am,cstate,3/1/2018,3:30 PM,,,
M  DAYOFF (X) ,3/2/2018,,cstate,3/2/2018,,,,true
M  🏥 Work (23),3/3/2018,11:00 pm,cstate,3/4/2018,7:30 AM,,,
M  DAYOFF (X) ,3/4/2018,,cstate,3/4/2018,,,,true
